TeamAB,时间,场,比赛,列1,果
ATL,2017/10/18,客,独行侠111-117老鹰,1,胜
ATL,2017/10/20,客,黄蜂109-91老鹰,2,负
ATL,2017/10/22,客,篮网116-104老鹰,3,负
ATL,2017/10/23,客,热火104-93老鹰,4,负
ATL,2017/10/26,客,公牛91-86老鹰,5,负
ATL,2017/10/27,主,掘金105-100老鹰,6,负
ATL,2017/10/29,主,雄鹿117-106老鹰,7,负
ATL,2017/11/1,客,76人119-109老鹰,8,负
ATL,2017/11/10,客,活塞111-104老鹰,12,负
ATL,2017/11/11,客,奇才113-94老鹰,13,负
ATL,2017/11/13,客,鹈鹕106-105老鹰,14,负
ATL,2017/11/15,主,国王80-126老鹰,15,胜
ATL,2017/11/18,主,凯尔特110-99老鹰,16,负
ATL,2017/11/20,客,马刺96-85老鹰,17,负
ATL,2017/11/22,主,快船116-103老鹰,18,负
ATL,2017/11/24,主,尼克斯104-116老鹰,19,胜
ATL,2017/11/25,主,猛龙112-78老鹰,20,负
ATL,2017/11/3,主,火箭119-104老鹰,9,负
ATL,2017/11/30,主,骑士121-114老鹰,21,负
ATL,2017/11/5,客,骑士115-117老鹰,10,胜
ATL,2017/11/6,主,凯尔特110-107老鹰,11,负
ATL,2017/12/10,客,尼克斯111-107老鹰,26,负
ATL,2017/12/12,客,骑士123-114老鹰,27,负
ATL,2017/12/14,主,活塞105-91老鹰,28,负
ATL,2017/12/15,客,灰熊96-94老鹰,29,负
ATL,2017/12/18,主,热火104-110老鹰,30,胜
ATL,2017/12/2,客,篮网102-114老鹰,22,胜
ATL,2017/12/20,主,步行者105-95老鹰,31,负
ATL,2017/12/22,客,雷霆120-117老鹰,32,负
ATL,2017/12/23,主,独行侠107-112老鹰,33,胜
ATL,2017/12/27,主,奇才99-113老鹰,34,胜
ATL,2017/12/29,客,猛龙111-98老鹰,35,负
ATL,2017/12/30,主,开拓者89-104老鹰,36,胜
ATL,2017/12/4,主,篮网110-90老鹰,23,负
ATL,2017/12/6,客,魔术110-106老鹰,24,负
ATL,2017/12/9,主,魔术110-117老鹰,25,胜
ATL,2018/1/10,客,掘金97-110老鹰,41,胜
ATL,2018/1/12,主,篮网110-105老鹰,42,负
ATL,2018/1/15,主,马刺99-102老鹰,43,胜
ATL,2018/1/17,主,鹈鹕93-94老鹰,44,胜
ATL,2018/1/2,客,太阳104-103老鹰,37,负
ATL,2018/1/20,主,公牛113-97老鹰,45,负
ATL,2018/1/22,主,爵士90-104老鹰,46,胜
ATL,2018/1/24,主,猛龙108-93老鹰,47,负
ATL,2018/1/26,客,黄蜂121-110老鹰,48,负
ATL,2018/1/27,主,奇才129-104老鹰,49,负
ATL,2018/1/29,主,森林狼100-105老鹰,50,胜
