比赛,场,出手,出手_2,出手_4,得分,罚球,犯规,盖帽,果,后场,篮板,列1,命中,命中_1,命中_3,前场,抢断,球队,三分,失误,时间,投篮,助攻,TeamAB
76人100-94步行者,主,94,31,17,94,0.706,21,6,负,34,42,12,37,8,12,8,9,印第安纳步行者,0.258,10,2018/11/7,0.394,19,IND
76人101-113步行者,客,95,20,24,113,0.875,22,2,胜,36,47,29,42,8,21,11,7,印第安纳步行者,0.4,7,2018/12/14,0.442,33,IND
76人102-113猛龙,主,100,29,22,113,0.864,13,3,胜,36,53,26,43,8,19,17,12,多伦多猛龙,0.276,11,2018/12/5,0.43,25,TOR
76人102-122独行侠,主,98,33,27,122,0.667,22,3,胜,44,54,77,46,12,18,10,5,达拉斯独行侠,0.364,6,2019/4/1,0.469,29,DAL
76人103-95灰熊,客,79,28,23,95,0.783,24,7,负,32,35,22,33,11,18,3,7,孟菲斯灰熊,0.393,14,2018/12/2,0.418,19,MEM
76人105-103黄蜂,客,95,35,24,103,0.833,25,8,负,39,48,7,37,9,20,9,3,夏洛特黄蜂,0.257,9,2018/10/27,0.389,19,CHA
76人106-100独行侠,客,88,31,23,100,0.652,23,3,负,40,49,39,38,9,15,9,4,达拉斯独行侠,0.29,15,2019/1/5,0.432,27,DAL
76人106-102热火,客,95,23,12,102,0.5,28,4,负,33,40,57,45,6,6,7,11,迈阿密热火,0.261,9,2019/2/21,0.474,27,MIA
76人106-111魔术,主,80,28,22,111,0.864,21,3,胜,32,37,15,40,12,19,5,7,奥兰多魔术,0.429,10,2018/11/14,0.5,23,ORL
76人106-112灰熊,主,103,30,15,112,0.733,18,3,胜,30,45,11,45,11,11,15,9,孟菲斯灰熊,0.367,11,2018/11/10,0.437,16,MEM
76人106-123奇才,主,87,27,21,123,0.762,21,2,胜,28,39,42,47,13,16,11,16,华盛顿奇才,0.481,18,2019/1/9,0.54,26,WAS
76人106-89步行者,客,83,16,37,89,0.595,27,4,负,32,44,67,31,5,22,12,8,印第安纳步行者,0.313,14,2019/3/10,0.373,18,IND
76人106-99骑士,客,101,38,8,99,0.75,17,2,负,28,37,68,40,13,6,9,8,克里夫兰骑士,0.342,7,2019/3/12,0.396,14,CLE
76人107-108公牛,主,93,23,27,108,0.741,17,3,胜,31,47,66,41,6,20,16,7,芝加哥公牛,0.261,13,2019/3/6,0.441,21,CHI
76人107-119猛龙,客,89,31,32,119,0.813,27,0,胜,27,42,55,41,11,26,15,12,多伦多猛龙,0.355,10,2019/2/5,0.461,27,TOR
76人108-104雷霆,主,87,27,28,104,0.714,18,3,负,36,44,61,38,8,20,8,5,俄克拉荷马雷霆,0.296,12,2019/2/28,0.437,28,OKC
76人108-105尼克斯,主,86,31,30,105,0.7,21,5,负,27,34,43,37,10,21,7,8,纽约尼克斯,0.323,10,2019/1/13,0.43,24,NYK
76人108-115国王,主,92,30,24,115,0.833,19,2,胜,38,50,52,42,11,20,12,9,萨克拉门托国王,0.367,16,2019/2/2,0.457,22,SAC
76人108-123雄鹿,主,100,43,30,123,0.933,27,10,胜,43,52,4,41,13,28,9,7,密尔沃基雄鹿,0.302,12,2018/10/24,0.41,24,MIL
76人109-112凯尔特,客,87,29,21,112,0.81,23,3,胜,33,41,57,41,13,17,8,9,波士顿凯尔特人,0.448,6,2019/2/12,0.471,24,BOS
76人109-99活塞,客,83,30,41,99,0.683,32,3,负,37,44,8,33,5,28,7,8,底特律活塞,0.167,17,2018/11/3,0.398,16,DET
76人110-126掘金,主,94,24,29,126,0.759,21,4,胜,40,51,48,48,8,22,11,4,丹佛掘金,0.333,10,2019/1/26,0.511,27,DEN
76人111-110鹈鹕,主,104,28,24,110,0.708,19,8,负,40,54,62,44,5,17,14,15,新奥尔良鹈鹕,0.179,13,2019/2/25,0.423,29,NOH
76人112-121骑士,客,93,22,16,121,0.75,25,1,胜,28,42,17,49,11,12,14,7,克里夫兰骑士,0.5,8,2018/11/23,0.527,16,CLE
76人112-129猛龙,主,92,27,28,129,0.857,26,6,胜,34,43,8,47,11,24,9,13,多伦多猛龙,0.407,15,2018/10/30,0.511,29,TOR
76人113-104勇士,主,88,38,16,104,0.688,19,7,负,28,37,51,41,11,11,9,13,金州勇士,0.289,15,2019/1/31,0.466,30,GSW
76人113-107爵士,客,88,22,37,107,0.568,25,4,负,29,39,15,41,4,21,10,10,犹他爵士,0.182,13,2018/11/16,0.466,15,UTA
