Team,Round,teamRound,EXP,ELO
CHI,1,1,0.5,1008
CLE,1,1,0.5,992
ATL,2,1,0.5,992
DET,2,1,0.5,1008
NOP,3,1,0.5,992
GSW,3,1,0.5,1008
CHI,4,2,0.5,1008
BRK,4,1,0.5,992
CHO,5,1,0.5,992
MIA,5,1,0.5,1008
CLE,6,2,0.4884891087822083,1000.1841742594846
MEM,6,1,0.5115108912177917,991.8158257405154
DAL,7,1,0.5,1008
PHO,7,1,0.5,992
DEN,8,1,0.5,1008
HOU,8,1,0.5,992
TOR,9,1,0.5,1008
IND,9,1,0.5,992
SAC,10,1,0.5,992
LAC,10,1,0.5,1008
LAL,11,1,0.5,992
MIN,11,1,0.5,1008
POR,12,1,0.5115108912177917,1007.8158257405154
NOP,12,2,0.4884891087822083,984.1841742594846
MIL,13,1,0.5,992
NYK,13,1,0.5,1008
BOS,14,1,0.5,1008
PHI,14,1,0.5,992
SAS,15,1,0.5,992
OKC,15,1,0.5,1008
UTA,16,1,0.4884891087822083,992.1841742594846
DET,16,2,0.5115108912177917,1015.8158257405154
ORL,17,1,0.5,992
WAS,17,1,0.5,1008
NYK,18,2,0.5230095872975623,999.631846603239
ATL,18,2,0.4769904127024377,1000.368153396761
LAC,19,2,0.5,1016
DAL,19,2,0.5,1000
IND,20,2,0.5002650480404252,983.9957592313532
MEM,20,2,0.49973495195957474,999.8200665091622
BRK,21,2,0.5,984
SAS,21,2,0.5,1000
CHI,22,3,0.48875401957942527,1000.1799356867292
DET,22,3,0.5112459804205747,1023.6358900537862
ATL,23,3,0.5120404126257938,1008.1755067947483
CHO,23,2,0.4879595873742062,984.1926466020127
GSW,24,2,0.5230095872975623,1015.631846603239
HOU,24,2,0.4769904127024377,984.368153396761
LAL,25,2,0.5,984
SAC,25,2,0.5,1000
MIA,26,2,0.5112459804205747,999.8200643132708
CLE,26,3,0.48875401957942527,1008.3641099462138
MIN,27,2,0.5,1016
DEN,27,2,0.5,1000
ORL,28,2,0.4769904127024377,984.368153396761
OKC,28,2,0.5230095872975623,1015.631846603239
PHO,29,2,0.47725490588575187,1000.363921505828
POR,29,2,0.5227450941142482,999.4519042346874
TOR,30,2,0.5,1016
BOS,30,2,0.5,1000
PHI,31,2,0.49973495195957474,984.0042407686468
UTA,31,2,0.5002650480404252,1000.1799334908378
MIL,32,2,0.4769904127024377,984.368153396761
WAS,32,2,0.5230095872975623,1015.631846603239
BRK,33,3,0.47724881556166315,976.3640189510133
MEM,33,3,0.5227511844383369,1007.4560475581488
GSW,34,3,0.5451336498639314,1022.9097082054161
NOP,34,3,0.4548663501360686,976.9063126573076
NYK,35,3,0.4769904127024377,1008
WAS,35,3,0.5230095872975623,1007.2636932064779
PHO,36,3,0.501312495343547,1008.3429215803312
POR,36,3,0.4986875046564529,991.4729041601842
SAC,37,3,0.4769904127024377,992.368153396761
LAC,37,3,0.5230095872975623,1023.631846603239
UTA,38,3,0.5232740675767887,1007.8075484096092
IND,38,3,0.47672593242321126,976.3681443125818
ATL,39,4,0.5344593958042246,1015.6241564618807
CHO,39,3,0.46554060419577536,976.7439969348803
LAL,40,3,0.4769904127024377,976.368153396761
DAL,40,3,0.5230095872975623,1007.631846603239
OKC,41,3,0.5224808684103358,1023.2721527086736
DEN,41,3,0.4775191315896642,992.3596938945653
MIA,42,3,0.5222224376259051,1007.4645053112563
HOU,42,3,0.4777775623740948,976.7237123987755
MIL,43,3,0.45460347433491355,977.0944978074024
TOR,43,3,0.5453965256650865,1023.2736555893587
ORL,44,3,0.4772607128403468,976.7319819913155
CHI,44,4,0.5227392871596532,1007.8161070921748
BOS,45,3,0.5,992
SAS,45,3,0.5,1008
CLE,46,4,0.5349993377062143,1015.8041205429143
PHI,46,3,0.4650006622937857,976.5642301719463
MEM,47,4,0.4777750492837348,999.8116467696091
GSW,47,4,0.5222249507162652,1030.5541089939559
MIL,48,4,0.50105124202943,985.0776779349314
BRK,48,4,0.4989487579705699,968.3808388234843
OKC,49,4,0.5665906350337527,1014.2067025481335
HOU,49,4,0.43340936496624727,985.7891625593156
LAC,50,4,0.5219883405352382,1031.280033154675
PHO,50,4,0.4780116594647618,1000.694735028895
POR,51,4,0.46476119105024055,1000.0367251033803
MIN,51,3,0.5352388089497594,1007.4361790568039
NYK,52,4,0.5,1000
SAS,52,4,0.5,1016
MIA,53,4,0.4882594765244125,999.6523536868657
ATL,53,5,0.5117405234755875,1023.4363080862713
