TEAM1,TEAM2,HOME,Result,_Round
"CHI","CLE","AWAY",1,1
"TOR","IND","AWAY",1,9
"POR","NOP","AWAY",1,12
"BOS","PHI","AWAY",1,14
"LAC","DAL","AWAY",1,19
"ATL","CHO","AWAY",1,23
"PHO","POR","AWAY",1,29
"OKC","DEN","AWAY",1,41
"MIA","HOU","AWAY",1,42
"LAC","PHO","AWAY",1,50
"CHO","CHI","AWAY",1,54
"IND","BOS","AWAY",1,60
"GSW","LAC","AWAY",1,62
"MIL","PHI","AWAY",1,65
"WAS","SAS","AWAY",1,68
"CHI","OKC","AWAY",1,73
"GSW","DEN","AWAY",1,76
"IND","MIA","AWAY",1,80
"CLE","PHI","AWAY",1,82
"ORL","TOR","AWAY",1,83
"BOS","WAS","AWAY",1,84
"SAS","CHO","AWAY",1,86
"DAL","NOP","AWAY",1,91
"OKC","PHO","AWAY",1,97
"GSW","DET","AWAY",1,100
"LAC","MEM","AWAY",1,101
"DEN","POR","AWAY",1,104
"NOP","DAL","AWAY",1,108
"MIA","LAL","AWAY",1,109
"DAL","LAC","AWAY",1,117
"ATL","NOP","AWAY",1,120
"CHO","NYK","AWAY",1,121
"BOS","ATL","AWAY",1,127
"CHI","CHO","AWAY",1,129
"DAL","LAL","AWAY",1,132
"OKC","PHI","AWAY",1,135
"ORL","UTA","AWAY",1,137
"GSW","BRK","AWAY",1,138
"WAS","ORL","AWAY",1,143
"SAS","PHI","AWAY",1,144
"LAL","DET","AWAY",1,146
"NYK","NOP","AWAY",1,148
"CHO","POR","AWAY",1,149
"SAC","TOR","AWAY",1,150
"CHI","IND","AWAY",1,154
"MEM","OKC","AWAY",1,156
"SAS","POR","AWAY",1,157
"DET","CLE","AWAY",1,160
"WAS","MIL","AWAY",1,162
"CHO","BRK","AWAY",1,165
"HOU","POR","AWAY",1,172
"MIA","SAC","AWAY",1,177
"CHO","PHI","AWAY",1,184
"NOP","SAS","AWAY",1,186
"MIA","PHI","AWAY",1,193
"NOP","PHO","AWAY",1,199
"MIL","DET","AWAY",1,202
"MIA","NYK","AWAY",1,203
"MIN","PHI","AWAY",1,206
"SAS","PHO","AWAY",1,207
"ATL","BOS","AWAY",1,209
"GSW","LAL","AWAY",1,214
"OKC","BRK","AWAY",1,216
"TOR","CLE","AWAY",1,217
"OKC","DET","AWAY",1,230
"ORL","MIL","AWAY",1,233
"SAS","ATL","AWAY",1,239
"DAL","DEN","AWAY",1,241
"POR","LAL","AWAY",1,242
"UTA","NOP","AWAY",1,243
"GSW","SAC","AWAY",1,244
"ORL","BOS","AWAY",1,246
"CHO","MIL","AWAY",1,250
"LAC","MIN","AWAY",1,251
"MEM","PHI","AWAY",1,252
"SAC","DAL","AWAY",1,255
"CHI","SAS","AWAY",1,261
"PHI","LAL","AWAY",1,263
"SAS","MIL","AWAY",1,272
"HOU","NOP","AWAY",1,273
"DET","PHO","AWAY",1,275
"MIA","OKC","AWAY",1,280
"NOP","CLE","AWAY",1,284
"ATL","LAL","AWAY",1,286
"DET","MIL","AWAY",1,287
"WAS","PHO","AWAY",1,288
"SAS","BOS","AWAY",1,289
"MIA","CLE","AWAY",1,291
"MIL","NYK","AWAY",1,295
"DET","LAL","AWAY",1,301
"CHO","DET","AWAY",1,306
"TOR","LAL","AWAY",1,308
"MIL","POR","AWAY",1,310
"BRK","HOU","AWAY",1,314
"CLE","POR","AWAY",1,317
"BOS","CHI","AWAY",1,320
"CHO","MIA","AWAY",1,325
"UTA","NYK","AWAY",1,326
"PHO","ORL","AWAY",1,327
"TOR","SAS","AWAY",1,328
"CHI","LAC","AWAY",1,330
"SAC","NYK","AWAY",1,331
"BRK","PHI","AWAY",1,332
"SAS","LAL","AWAY",1,337
"IND","MIA","AWAY",1,338
"TOR","MIL","AWAY",1,339
"DEN","MIN","AWAY",1,340
"OKC","UTA","AWAY",1,356
"CHI","PHI","AWAY",1,362
"DAL","PHO","AWAY",1,363
"IND","TOR","AWAY",1,364
"SAC","HOU","AWAY",1,369
"DET","BOS","AWAY",1,371
"IND","DAL","AWAY",1,373
"CHI","MEM","AWAY",1,374
"LAC","MIL","AWAY",1,376
"GSW","PHO","AWAY",1,380
"CLE","OKC","AWAY",1,384
"CHO","TOR","AWAY",1,385
"UTA","DEN","AWAY",1,388
"DAL","MEM","AWAY",1,391
"PHO","NOP","AWAY",1,393
"WAS","CHO","AWAY",1,399
"HOU","LAC","AWAY",1,401
"CLE","PHI","AWAY",1,407
"HOU","CHO","AWAY",1,411
"SAS","IND","AWAY",1,412
"WAS","SAC","AWAY",1,418
"TOR","DAL","AWAY",1,419
"ORL","HOU","AWAY",1,427
"CLE","NYK","AWAY",1,429
"GSW","CLE","AWAY",1,437
"HOU","SAS","AWAY",1,440
"POR","CLE","AWAY",1,443
"SAS","DEN","AWAY",1,444
"NOP","HOU","AWAY",1,445
"ATL","NYK","AWAY",1,450
"CHO","LAL","AWAY",1,462
"GSW","SAC","AWAY",1,467
"NYK","DET","AWAY",1,471
"MEM","MIA","AWAY",1,472
"OKC","MIL","AWAY",1,473
"POR","DEN","AWAY",1,475
"DAL","GSW","AWAY",1,476
"CHI","IND","AWAY",1,477
"UTA","POR","AWAY",1,489
"TOR","CHO","AWAY",1,490
"CHI","NYK","AWAY",1,492
"WAS","ORL","AWAY",1,493
"LAL","PHI","AWAY",1,494
"GSW","DEN","AWAY",1,496
"IND","DET","AWAY",1,497
"SAC","PHO","AWAY",1,505
"NYK","ATL","AWAY",1,506
"LAL","PHO","AWAY",1,509
"GSW","CHO","AWAY",1,512
"MIA","IND","AWAY",1,514
"PHI","MIN","AWAY",1,516
"DET","ORL","AWAY",1,517
"CLE","TOR","AWAY",1,520
"CHI","MIL","AWAY",1,522
"DAL","SAC","AWAY",1,524
"CHI","BOS","AWAY",1,537
"SAC","LAL","AWAY",1,538
"MEM","DEN","AWAY",1,542
"SAS","NYK","AWAY",1,546
"DET","BRK","AWAY",1,550
"ATL","CHI","AWAY",1,551
"UTA","MIA","AWAY",1,554
"MEM","BOS","AWAY",1,557
"DEN","CHO","AWAY",1,558
"HOU","IND","AWAY",1,561
"NYK","MIL","AWAY",1,562
"POR","OKC","AWAY",1,564
"GSW","MIA","AWAY",1,566
"NYK","BOS","AWAY",1,569
"CHO","ATL","AWAY",1,577
"DEN","GSW","AWAY",1,579
"BOS","IND","AWAY",1,580
"WAS","MIL","AWAY",1,582
"HOU","MIN","AWAY",1,583
"SAS","CLE","AWAY",1,588
"GSW","LAL","AWAY",1,590
"ATL","BRK","AWAY",1,603
"DET","GSW","AWAY",1,604
"SAS","DAL","AWAY",1,610
"MIN","PHO","AWAY",1,614
"DAL","BOS","AWAY",1,615
"LAC","HOU","AWAY",1,619
"MEM","NOP","AWAY",1,620
"ATL","ORL","AWAY",1,621
"NOP","MIN","AWAY",1,627
"TOR","BOS","AWAY",1,630
"OKC","CHO","AWAY",1,631
"NYK","UTA","AWAY",1,639
"SAC","ATL","AWAY",1,640
"NOP","DET","AWAY",1,641
"CLE","LAC","AWAY",1,642
"GSW","IND","AWAY",1,647
"TOR","MIA","AWAY",1,649
"HOU","MIL","AWAY",1,650
"PHO","ATL","AWAY",1,654
"DEN","DET","AWAY",1,656
"POR","LAL","AWAY",1,658
"MIN","MEM","AWAY",1,659
"CHO","NYK","AWAY",1,661
"TOR","LAC","AWAY",1,664
"GSW","SAS","AWAY",1,674
"MIL","ORL","AWAY",1,679
"PHI","PHO","AWAY",1,680
"POR","SAC","AWAY",1,681
"TOR","WAS","AWAY",1,682
"GSW","DAL","AWAY",1,684
"BOS","DEN","AWAY",1,685
"CLE","PHO","AWAY",1,690
"IND","ATL","AWAY",1,691
"MEM","MIL","AWAY",1,694
"TOR","NYK","AWAY",1,695
"DAL","BRK","AWAY",1,697
"POR","CHO","AWAY",1,698
"OKC","HOU","AWAY",1,700
"NYK","PHO","AWAY",1,705
"NOP","BRK","AWAY",1,706
"IND","DEN","AWAY",1,707
"TOR","DET","AWAY",1,708
"ORL","BOS","AWAY",1,714
"UTA","CHI","AWAY",1,720
"ATL","DAL","AWAY",1,722
"SAS","ORL","AWAY",1,726
"OKC","WAS","AWAY",1,728
"POR","MIL","AWAY",1,731
"LAL","MIN","AWAY",1,732
"UTA","DEN","AWAY",1,737
"BOS","DET","AWAY",1,738
"SAS","NOP","AWAY",1,743
"DET","NYK","AWAY",1,747
"DEN","CHI","AWAY",1,750
"UTA","MIL","AWAY",1,755
"MIN","CHI","AWAY",1,760
"GSW","OKC","AWAY",1,765
"CHO","WAS","AWAY",1,768
"ORL","ATL","AWAY",1,769
"BOS","SAC","AWAY",1,772
"BRK","DEN","AWAY",1,774
"IND","LAL","AWAY",1,776
"CLE","SAC","AWAY",1,781
"MIL","BOS","AWAY",1,783
"GSW","HOU","AWAY",1,784
"POR","HOU","AWAY",1,792
"BOS","LAC","AWAY",1,793
"CLE","LAL","AWAY",1,794
"MIN","TOR","AWAY",1,798
"NOP","UTA","AWAY",1,799
"MIL","WAS","AWAY",1,801
"CLE","CHI","AWAY",1,802
"ORL","DAL","AWAY",1,807
"BRK","NYK","AWAY",1,815
"CHI","LAL","AWAY",1,827
"TOR","MEM","AWAY",1,828
"DAL","PHI","AWAY",1,830
"MIN","BOS","AWAY",1,833
"LAC","PHO","AWAY",1,838
"POR","BRK","AWAY",1,840
"UTA","HOU","AWAY",1,841
"MEM","LAL","AWAY",1,848
"DET","PHI","AWAY",1,852
"BOS","MIL","AWAY",1,858
"NOP","OKC","AWAY",1,859
"ATL","CHI","AWAY",1,861
"WAS","CLE","AWAY",1,878
"DAL","MIN","AWAY",1,880
"MIL","HOU","AWAY",1,885
"WAS","PHI","AWAY",1,889
"GSW","ATL","AWAY",1,891
"DAL","ORL","AWAY",1,894
"SAS","DET","AWAY",1,899
"HOU","NOP","AWAY",1,902
"LAC","OKC","AWAY",1,903
"MEM","SAC","AWAY",1,905
"TOR","UTA","AWAY",1,906
"GSW","OKC","AWAY",1,908
"CHO","IND","AWAY",1,914
"BOS","NYK","AWAY",1,917
"TOR","POR","AWAY",1,919
"DEN","DAL","AWAY",1,930
"LAL","GSW","AWAY",1,931
"CHO","MIN","AWAY",1,940
"IND","SAS","AWAY",1,943
"TOR","BRK","AWAY",1,945
"POR","WAS","AWAY",1,949
"OKC","LAC","AWAY",1,953
"BOS","MEM","AWAY",1,954
"TOR","ATL","AWAY",1,959
"SAS","CHI","AWAY",1,960
"DEN","PHO","AWAY",1,962
"PHI","BRK","AWAY",1,963
"CHO","DET","AWAY",1,964
"LAC","NYK","AWAY",1,969
"GSW","POR","AWAY",1,971
"UTA","WAS","AWAY",1,972
"ATL","MEM","AWAY",1,976
"TOR","MIA","AWAY",1,977
"SAS","OKC","AWAY",1,979
"POR","ORL","AWAY",1,980
"GSW","PHO","AWAY",1,981
"DEN","WAS","AWAY",1,982
"UTA","CLE","AWAY",1,989
"MIA","DEN","AWAY",1,991
"WAS","DET","AWAY",1,992
"PHO","MIN","AWAY",1,994
"OKC","POR","AWAY",1,996
"ORL","DEN","AWAY",1,998
"CLE","DAL","AWAY",1,1005
"GSW","NYK","AWAY",1,1009
"CHO","ORL","AWAY",1,1011
"MIL","MEM","AWAY",1,1015
"SAS","POR","AWAY",1,1017
"TOR","BOS","AWAY",1,1020
"HOU","MIN","AWAY",1,1023
"MIA","CLE","AWAY",1,1029
"SAS","GSW","AWAY",1,1031
"ATL","HOU","AWAY",1,1032
"CHI","UTA","AWAY",1,1036
"DAL","POR","AWAY",1,1040
"CHO","SAS","AWAY",1,1050
"OKC","HOU","AWAY",1,1053
"LAL","MEM","AWAY",1,1054
"POR","DAL","AWAY",1,1057
"GSW","LAC","AWAY",1,1058
"SAS","MIA","AWAY",1,1060
"CLE","MIL","AWAY",1,1061
"DEN","PHI","AWAY",1,1064
"MIN","SAC","AWAY",1,1065
"IND","NOP","AWAY",1,1070
"LAC","POR","AWAY",1,1071
"DET","CHO","AWAY",1,1073
"SAS","MEM","AWAY",1,1076
"MIA","ORL","AWAY",1,1079
"HOU","TOR","AWAY",1,1081
"BRK","IND","AWAY",1,1087
"POR","PHI","AWAY",1,1088
"SAC","DAL","AWAY",1,1092
"LAC","DEN","AWAY",1,1093
"GSW","PHI","AWAY",1,1095
"LAC","BOS","AWAY",1,1098
"MIA","BRK","AWAY",1,1099
"POR","SAC","AWAY",1,1105
"GSW","WAS","AWAY",1,1112
"LAL","MIA","AWAY",1,1117
"DAL","NYK","AWAY",1,1119
"MIL","PHO","AWAY",1,1120
"POR","BOS","AWAY",1,1122
