出场,出手,出手_2,出手_4,得分,罚球,盖帽,犯规,后场,篮板,命中,命中_1,命中_3,前场,抢断,球员,三分,时间,首发,投篮,失误,助攻,ATL
1,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,弗拉特科-钱查尔,"",2.0,0,"",0.0,0.0,DEN
1,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,亨利-埃伦森,"",3.0,0,"",0.0,0.0,BKN
1,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,罗密欧-兰福德,"",0.0,0,"",0.0,0.0,BOS
1,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,约翰-孔查尔,"",7.0,0,"",0.0,0.0,MEM
2,0.0,0.0,0.0,0.0,"",0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,KZ-奥克帕拉,"",1.0,0,"",0.5,0.0,MIA
2,0.0,0.0,0.0,0.0,"",0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,克斯塔斯-安特托昆博,"",1.0,0,"",0.0,0.0,LAL
3,0.0,0.0,0.0,0.0,"",0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,贾里德-范德比尔特,"",3.0,0,"",0.3,0.3,DEN
2,0.0,0.0,1.0,0.5,50.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,凯里-托马斯,"",3.0,0,"",0.0,0.0,DET
1,0.0,0.0,4.0,3.0,75.0%,4.0,3.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,Norvel Pelle,"",13.0,0,"",2.0,1.0,PHI
2,0.5,0.0,0.0,0.0,"",0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,小扎克-诺维尔,"",2.5,0,0.0%,0.0,0.0,LAL
2,0.5,0.0,0.0,1.0,"",0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,DaQuan Jeffries,"",5.5,0,100.0%,0.0,0.5,SAC
4,0.5,0.0,0.5,0.8,50.0%,0.5,0.8,0.8,1.0,0.3,0.0,0.3,0.3,0.3,凯莱布-斯瓦尼根,"",3.0,0,50.0%,0.8,0.0,SAC
2,0.5,0.0,1.0,1.0,0.0%,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,乔纳-博尔登,"",2.5,0,100.0%,0.5,0.0,PHI
2,0.5,0.0,2.0,2.5,75.0%,0.0,1.5,1.5,1.5,0.5,0.0,1.5,0.0,0.0,乌杜尼斯-哈斯勒姆,"",5.5,0,100.0%,0.0,0.0,MIA
2,0.5,0.5,0.0,0.0,"",0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,布兰登-古德温,0.0%,2.5,0,0.0%,1.0,0.0,ATL
3,0.7,0.0,0.0,0.7,"",0.0,0.3,1.0,1.3,0.3,0.0,0.0,0.3,0.3,杰伦-霍尔德,"",3.3,0,50.0%,0.0,0.3,POR
3,0.7,0.3,0.0,1.0,"",0.0,1.0,0.7,0.7,0.3,0.3,0.0,0.0,0.3,Dean Wade,100.0%,6.0,0,50.0%,0.0,0.0,CLE
6,0.7,0.5,0.0,0.8,"",0.0,0.7,0.0,0.0,0.3,0.2,0.0,0.0,0.0,德里克-沃顿,33.3%,3.7,0,50.0%,0.2,0.5,LAC
4,0.8,0.0,0.0,1.5,"",0.0,0.5,0.5,1.0,0.8,0.0,0.0,0.5,0.0,阿米尔-杰弗森,"",3.0,0,100.0%,0.3,0.5,ORL
