2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Age,ATL,Guaranteed,Player,Signed Using
"","","","","","",24,ATL,"",Brandon Goodwin,Two-Way Contract
"","","","","","",22,ATL,"",Charlie Brown,Two-Way Contract
"","","","","","",23,BOS,"",Tacko Fall,Two-Way Contract
"","","","","","",21,BOS,"",Tremont Waters,Two-Way Contract
"","","","","","",22,BRK,"",Henry Ellenson,Two-Way Contract
"","","","","","",24,BRK,"",Timothé Luwawu-Cabarrot,Two-Way Contract
"","","","","","",21,CHI,"",Adam Mokoka,Two-Way Contract
"","","","","","",23,CHI,"",Max Strus,Two-Way Contract
"","","","","","",21,CHO,"",Jalen McDaniels,Minimum Salary
"","","","","","",22,CHO,"",Kobi Simmons,Two-Way Contract
"","","","","","",22,CHO,"",Robert Franks,Two-Way Contract
"","","","","","",23,CLE,"",Dean Wade,Two-Way Contract
"","","","","","",22,CLE,"",Tyler Cook,Two-Way Contract
"","","","","","",25,DAL,"",Antonius Cleveland,Two-Way Contract
"","","","","","",22,DAL,"",Josh Reaves,Two-Way Contract
"","","","","","",20,DEN,"",Bol Bol,Two-Way Contract
"","","","","","",23,DEN,"",PJ Dozier,Two-Way Contract
"","","","","","",22,DET,"",Jordan Bone,Two-Way Contract
"","","","","","",20,DET,"",Louis King,Two-Way Contract
"","","","","","",27,GSW,"",Damion Lee,Two-Way Contract
"","","","","","",22,GSW,"",Ky Bowman,Two-Way Contract
"","","","","","",22,HOU,"",Chris Clemons,Two-Way Contract
"","","","","","",25,HOU,"",Michael Frazier,Two-Way Contract
"","","","","","",21,IND,"",Brian Bowen,Two-Way Contract
"","","","","","",26,IND,"",Naz Mitrou-Long,Two-Way Contract
"","","","","","",22,LAC,"",Amir Coffey,Two-Way Contract
"","","","","","",24,LAC,"",Johnathan Motley,Two-Way Contract
"","","","","","",22,LAL,"",Kostas Antetokounmpo,Two-Way Contract
"","","","","","",21,LAL,"",Zach Norvell,Two-Way Contract
"","","","","","",23,MEM,"",John Konchar,Two-Way Contract
"","","","","","",25,MEM,"",Yuta Watanabe,Two-Way Contract
"","","","","","",23,MIA,"",Chris Silva,Two-Way Contract
"","","","","","",24,MIA,"",Daryl Macon,Two-Way Contract
"","","","","","",24,MIL,"",Cameron Reynolds,Two-Way Contract
"","","","","","",25,MIL,"",Frank Mason,Two-Way Contract
"","","","","","",23,MIN,"",Jordan McLaughlin,Two-Way Contract
"","","","","","",24,MIN,"",Kelan Martin,Two-Way Contract
"","","","","","",26,NOP,"",Josh Gray,Two-Way Contract
"","","","","","",24,NOP,"",Zylan Cheatham,Two-Way Contract
"","","","","","",22,NYK,"",Ivan Rabb,Two-Way Contract
"","","","","","",26,NYK,"",Kadeem Allen,Two-Way Contract
