,000001.SH前收盘价,399106.SZ前收盘价,000001.SH开盘价,399106.SZ开盘价,000001.SH最高价,399106.SZ最高价,000001.SH最低价,399106.SZ最低价,000001.SH收盘价,399106.SZ收盘价,000001.SH涨跌,399106.SZ涨跌,000001.SH涨跌幅,399106.SZ涨跌幅,000001.SH成交量,399106.SZ成交量
2017/8/21,3268.724,1902.253,3274.58,1903.778,3287.518,1916.418,3270.475,1903.778,3286.905,1916.418,18.181,14.165,0.556210925,0.744643326,18612248320,18678456576
2017/8/22,3286.905,1916.418,3287.614,1916.187,3293.476,1916.27,3274.941,1904.586,3290.225,1908.319,3.32,-8.099,0.101006874,-0.422611351,18653799168,19155987712
2017/8/23,3290.225,1908.319,3283.796,1905.985,3299.457,1909.232,3274.44,1895.171,3287.704,1901.995,-2.521,-6.324,-0.0766209,-0.331391135,17983220736,17098040832
2017/8/24,3287.704,1901.995,3287.959,1901.371,3297.988,1903.305,3266.358,1887.637,3271.511,1890.484,-16.193,-11.511,-0.492532174,-0.605206638,16346893824,16218445824
2017/8/25,3271.511,1890.484,3271.46,1890.348,3331.914,1911.547,3271.46,1890.317,3331.522,1910.13,60.011,19.646,1.834351161,1.039204775,20583948288,17453030656
2017/8/28,3331.522,1910.13,3336.126,1913.164,3375.033,1943.164,3336.126,1913.164,3362.651,1936.76,31.129,26.63,0.934377741,1.394145948,25746143744,23300568320
2017/8/29,3362.651,1936.76,3362.06,1935.554,3374.594,1939.514,3354.462,1928.852,3365.226,1932.055,2.575,-4.705,0.076576487,-0.242931494,21950453504,20901471232
2017/8/30,3365.226,1932.055,3361.82,1931.017,3376.648,1940.799,3357.08,1931.017,3363.626,1938.9,-1.6,6.845,-0.047545098,0.35428598,24686331136,20563184384
2017/8/31,3363.626,1938.9,3361.462,1939.77,3367.358,1944.939,3340.686,1934.179,3360.81,1944.939,-2.816,6.039,-0.083719177,0.311465264,23441978112,19375915264
2017/9/1,3360.81,1944.939,3365.991,1946.324,3381.925,1956.352,3358.472,1943.135,3367.119,1956.352,6.309,11.413,0.187722603,0.586805036,28249758464,23675357696
2017/9/4,3367.119,1956.352,3369.718,1956.231,3381.402,1968.849,3359.13,1952.284,3379.583,1968.121,12.464,11.769,0.370168087,0.601578857,26742785024,25394557440
2017/9/5,3379.583,1968.121,3377.196,1967.062,3390.823,1973.378,3371.57,1961.433,3384.317,1972.138,4.734,4.017,0.140076453,0.204103305,21655294720,22619344640
2017/9/6,3384.317,1972.138,3372.427,1966.996,3391.01,1979.534,3364.764,1963.442,3385.388,1979.534,1.071,7.396,0.031645972,0.375024466,22909078528,23687013888
2017/9/7,3385.388,1979.534,3383.628,1980.365,3387.795,1987.742,3363.176,1972.216,3365.497,1972.739,-19.891,-6.795,-0.587554514,-0.343262606,22111868416,25150493440
2017/9/8,3365.497,1972.739,3364.427,1971.168,3380.889,1981.521,3353.687,1964.893,3365.242,1975.869,-0.255,3.13,-0.00757689,0.158662651,19840518400,21933380096
2017/9/11,3365.242,1975.869,3365.35,1976.61,3384.81,1991.732,3360.046,1974.454,3376.418,1991.732,11.176,15.863,0.332100931,0.802836625,21901101824,22823691776
2017/9/12,3376.418,1991.732,3381.487,1993.164,3391.069,2001.575,3370.851,1982.738,3379.488,1986.208,3.07,-5.524,0.090924761,-0.277346551,27291031808,29751975680
2017/9/13,3379.488,1986.208,3374.718,1984.903,3387.139,1994.976,3366.541,1980.832,3384.147,1994.976,4.659,8.768,0.13786112,0.441444199,19455071488,21749235968
2017/9/14,3384.147,1994.976,3383.47,1995.499,3391.643,2002.423,3361.333,1987.161,3371.425,1993.531,-12.722,-1.445,-0.375929296,-0.072431949,22130648832,23759467776
2017/9/15,3371.425,1993.531,3365.145,1991.384,3365.527,1995.635,3345.328,1982.619,3353.619,1987.985,-17.806,-5.546,-0.528144627,-0.278199837,21976581632,22773786624
2017/9/18,3353.619,1987.985,3352.513,1986.315,3371.748,2002.741,3352.513,1986.315,3362.858,2002.741,9.239,14.756,0.27549343,0.742259122,19031967488,20612210944
2017/9/19,3362.858,2002.741,3365.531,2003.493,3370.4,2006.727,3344.705,1989.667,3356.844,1995.601,-6.014,-7.14,-0.178835978,-0.356511401,19112969216,21306387968
2017/9/20,3356.844,1995.601,3352.184,1994.139,3370.097,2012.233,3346.535,1992.695,3365.995,2012.233,9.151,16.632,0.272607247,0.833433136,19219666176,22059384064
2017/9/21,3365.995,2012.233,3364.697,2011.98,3377.884,2015.42,3356.875,1995.422,3357.812,1995.422,-8.183,-16.811,-0.243107907,-0.835440031,19744869632,22158862592
2017/9/22,3357.812,1995.422,3347.156,1989.974,3356.451,1992.989,3334.984,1979.761,3352.529,1988.589,-5.283,-6.833,-0.157334598,-0.342433831,17923400704,19421195776
2017/9/25,3352.529,1988.589,3344.588,1985.917,3350.961,1987.174,3334.943,1961.565,3341.548,1963.895,-10.981,-24.694,-0.327543774,-1.241785004,16962129408,18369967872
2017/9/26,3341.548,1963.895,3336.349,1961.426,3347.162,1966.672,3332.598,1953.315,3343.582,1964.03,2.034,0.135,0.060869992,0.006874095,13262859520,16778238208
2017/9/27,3343.582,1964.03,3340.821,1963.611,3349.694,1982.159,3340.298,1963.611,3345.271,1979.279,1.689,15.249,0.050514688,0.776413802,14308694528,17043197440
2017/9/28,3345.271,1979.279,3343.844,1977.559,3344.6,1984.656,3336.178,1974.653,3339.642,1974.782,-5.629,-4.497,-0.168267384,-0.227203946,14944430080,18285129472
